$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_zeae..DZ2QDz"             "GEN343" 
 "Dickeya_solani..M005Ds"           "GEN344" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN346" 
 "Dickeya_solani..PPO9134Ds"        "GEN346" 
 "Serratia_sp..ATCC39006Ss"         "GEN346" 
 "Dickeya_zeae..DZ2QDz"             "GEN347" 
 "Dickeya_sp..B16Ds"                "GEN349" 
 "Dickeya_dadantii..3937Dd"         "GEN350" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN351" 
 "Dickeya_aquatica..DW0440Da"       "GEN352" 
 "Dickeya_solani..GBBC2040Ds"       "GEN356" 
 "Dickeya_solani..IFB0099Ds"        "GEN356" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN356" 
 "Dickeya_sp..B16Ds"                "GEN357" 
 "Dickeya_dadantii..3937Dd"         "GEN358" 
 "Dickeya_chrysanthem..M074Dc"      "GEN359" 
 "Dickeya_solani..RNS050512ADs"     "GEN359" 
 "Dickeya_chrysanthem..M074Dc"      "GEN360" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN361" 
 "Dickeya_chrysanthem..L11Dc"       "GEN362" 
 "Dickeya_sp..B16Ds"                "GEN362" 
 "Dickeya_chrysanthem..M074Dc"      "GEN363" 
 "Dickeya_solani..M005Ds"           "GEN363" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN365" 
 "Dickeya_zeae..DZ2QDz"             "GEN367" 
 "Dickeya_dadantii..3937Dd"         "GEN368" 
 "Dickeya_chrysanthem..M074Dc"      "GEN369" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN370" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN372" 
 "Dickeya_aquatica..DW0440Da"       "GEN373" 
 "Dickeya_chrysanthem..M074Dc"      "GEN373" 
 "Dickeya_zeae..MS1Dz"              "GEN374" 
 "Dickeya_solani..RNS070773BDs"     "GEN375" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN375" 
 "Dickeya_sp..S1Ds"                 "GEN376" 
 "Dickeya_solani..M005Ds"           "GEN376" 
 "Dickeya_dadantii..3937Dd"         "GEN377" 
 "Dickeya_zeae..DZ2QDz"             "GEN377" 
 "Dickeya_dadantii..3937Dd"         "GEN378" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN378" 
 "Dickeya_zeae..MS1Dz"              "GEN380" 
 "Dickeya_solani..RNS050512ADs"     "GEN381" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN381" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN382" 
 "Dickeya_zeae..Ech586Dz"           "GEN382" 
 "Dickeya_solani..IPO2222Ds"        "GEN383" 
 "Dickeya_zeae..EC1Dz"              "GEN383" 
 "Dickeya_sp..CSLRW240Ds"           "GEN383" 
 "Dickeya_sp..B16Ds"                "GEN383" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN384" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN384" 
 "Dickeya_zeae..DZ2QDz"             "GEN386" 
 "Dickeya_solani..MK16Ds"           "GEN388" 
 "Dickeya_solani..IPO2222Ds"        "GEN388" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN390" 
 "Dickeya_zeae..DZ2QDz"             "GEN391" 
 "Dickeya_zeae..MS1Dz"              "GEN391" 
 "Serratia_sp..ATCC39006Ss"         "GEN391" 
 "Dickeya_solani..RNS070773BDs"     "GEN395" 
 "Dickeya_solani..M005Ds"           "GEN395" 
 "Dickeya_solani..RNS070773BDs"     "GEN398" 
 "Dickeya_solani..RNS070773BDs"     "GEN402" 
 "Dickeya_solani..PPO9019Ds"        "GEN402" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN403" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN403" 
 "Dickeya_zeae..Ech586Dz"           "GEN406" 
 "Dickeya_aquatica..localstrainDa"  "GEN409" 
 "Cedecea_neteri..ND14bCn"          "GEN409" 
 "Dickeya_chrysanthem..M074Dc"      "GEN410" 
 "Dickeya_solani..RNS08082331ADs"   "GEN411" 
 "Dickeya_solani..RNS070773BDs"     "GEN411" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN411" 
 "Dickeya_aquatica..localstrainDa"  "GEN412" 
 "Dickeya_zeae..MS1Dz"              "GEN413" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN414" 
 "Dickeya_sp..MK7Ds"                "GEN415" 
 "Dickeya_zeae..DZ2QDz"             "GEN422" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN422" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN423" 
 "Cedecea_neteri..ND14bCn"          "GEN423" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN424" 
 "Dickeya_solani..IFB0099Ds"        "GEN425" 
 "Dickeya_zeae..DZ2QDz"             "GEN427" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN427" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN427" 
 "Dickeya_dadantii..3937Dd"         "GEN429" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN430" 
 "Dickeya_dadantii..3937Dd"         "GEN433" 
 "Dickeya_aquatica..DW0440Da"       "GEN434" 
 "Dickeya_dadantii..3937Dd"         "GEN435" 
 "Dickeya_chrysanthem..M074Dc"      "GEN436" 
 "Dickeya_sp..NCPPB569Ds"           "GEN436" 
